Taxon	Value	Name	UniRuleId
NA	IPR001287,IPR008972,IPR011707	nitrite reductase (NO-forming)	ARBA00011882
2	1.10.760.10:FF:000027,2.140.10.20:FF:000001	nitrite reductase (NO-forming)	ARBA00011882
3379134	2.60.40.420:FF:000091	nitrite reductase (NO-forming)	ARBA00011882
NA	IPR001095,IPR011763,IPR029045	acetyl-CoA carboxytransferase	ARBA00011883
2	3.90.226.10:FF:000039,3.90.226.10:FF:000060	acetyl-CoA carboxytransferase	ARBA00011883
NA	3.90.226.10:FF:000008	acetyl-CoA carboxytransferase	ARBA00011883
NA	IPR001296,IPR017814,IPR028098	D-inositol-3-phosphate glycosyltransferase	ARBA00011884
2	3.40.50.2000:FF:000123	D-inositol-3-phosphate glycosyltransferase	ARBA00011884
NA	IPR006311,IPR006655,IPR041460	trimethylamine-N-oxide reductase	ARBA00011885
135623	2.40.40.20:FF:000009	trimethylamine-N-oxide reductase	ARBA00011885
28211	3.40.228.10:FF:000003	trimethylamine-N-oxide reductase	ARBA00011885
NA	IPR003730,IPR011324,IPR038371	purine-nucleoside phosphorylase	ARBA00011886
NA	IPR000845,IPR011268,IPR035994	purine-nucleoside phosphorylase	ARBA00011886
2759	3.40.50.1580:FF:000004	purine-nucleoside phosphorylase	ARBA00011886
2	3.60.140.10:FF:000003	purine-nucleoside phosphorylase	ARBA00011886
1783272	3.40.50.1580:FF:000007	purine-nucleoside phosphorylase	ARBA00011886
3379134	3.60.140.10:FF:000001	purine-nucleoside phosphorylase	ARBA00011886
1224	3.40.50.1580:FF:000002	purine-nucleoside phosphorylase	ARBA00011886
1239	3.40.50.1580:FF:000010	purine-nucleoside phosphorylase	ARBA00011886
2157	3.40.50.1580:FF:000012	purine-nucleoside phosphorylase	ARBA00011886
33208	3.60.140.10:FF:000002	purine-nucleoside phosphorylase	ARBA00011886
NA	3.60.140.10:FF:000011	purine-nucleoside phosphorylase	ARBA00011886
NA	IPR003321,IPR036280,PTHR30633:SF0	nitrite reductase (cytochrome; ammonia-forming)	ARBA00011887
2	1.20.140.10:FF:000014	nitrite reductase (cytochrome; ammonia-forming)	ARBA00011887
NA	IPR000845,IPR010058,IPR018016	uridine phosphorylase	ARBA00011888
2	IPR035994,PTHR43691:SF11	uridine phosphorylase	ARBA00011888
2	3.40.50.1580:FF:000003	uridine phosphorylase	ARBA00011888
2759	3.40.50.1580:FF:000009	uridine phosphorylase	ARBA00011888
1239	IPR000053,IPR000312	pyrimidine-nucleoside phosphorylase	ARBA00011889
2	1.20.970.10:FF:000002,3.40.1030.10:FF:000003	pyrimidine-nucleoside phosphorylase	ARBA00011889
NA	IPR000682,IPR029063,PTHR11579:SF0	protein-L-isoaspartate(D-aspartate) O-methyltransferase	ARBA00011890
2759	PTHR11579:SF7	protein-L-isoaspartate(D-aspartate) O-methyltransferase	ARBA00011890
NA	3.40.50.150:FF:000010	protein-L-isoaspartate(D-aspartate) O-methyltransferase	ARBA00011890
2759	3.40.50.150:FF:000027	protein-L-isoaspartate(D-aspartate) O-methyltransferase	ARBA00011890
